,datetime,open,high,low,close,volume,money
0,2013-01-14,2551.81,2583.63,2473.7,2577.72,55410357400.0,560266855102.0
1,2013-01-23,2579.13,2620.03,2539.67,2607.46,60565189200.0,606450767236.0
2,2013-02-01,2606.43,2744.32,2564.21,2743.32,66257415600.0,683121746894.0
3,2013-02-19,2753.69,2791.3,2674.34,2685.61,65132171300.0,680154741969.0
4,2013-02-28,2686.09,2703.1,2564.67,2673.33,51419655800.0,538991064973.0
5,2013-03-11,2671.84,2680.85,2528.69,2592.37,57391231900.0,592347405775.0
6,2013-03-20,2590.39,2619.51,2491.85,2610.17,46239341800.0,470324094905.0
7,2013-03-29,2611.58,2641.61,2482.49,2495.08,44231131900.0,446269996368.0
8,2013-04-11,2486.43,2524.46,2429.5,2477.88,34477586200.0,353154035021.0
9,2013-04-22,2476.32,2542.45,2416.62,2530.67,36732325500.0,371117814730.0
10,2013-05-06,2532.2,2533.86,2423.08,2525.98,40115116200.0,402244292681.0
11,2013-05-15,2519.36,2562.01,2479.87,2506.93,37626368100.0,393767332467.0
12,2013-05-24,2501.12,2630.07,2487.76,2597.23,53024763600.0,552742303544.0
13,2013-06-04,2593.52,2661.23,2556.06,2565.67,48643402000.0,498509867587.0
14,2013-06-18,2565.33,2570.03,2375.2,2418.74,38388530600.0,381725570388.0
15,2013-06-27,2408.28,2408.28,2023.17,2160.74,51706839800.0,449685696249.0
16,2013-07-08,2149.03,2252.03,2139.37,2163.62,45403783900.0,410052478023.0
17,2013-07-17,2160.7,2351.22,2149.79,2282.84,52620777700.0,482125199390.0
18,2013-07-26,2272.95,2282.43,2159.81,2224.01,44008052100.0,411718936680.0
19,2013-08-06,2205.08,2302.48,2162.98,2293.64,41070553900.0,387276742629.0
20,2013-08-15,2292.38,2386.6,2258.33,2321.58,50489797500.0,480901591592.0
21,2013-08-26,2314.26,2423.08,2251.92,2335.62,51562279600.0,473255067171.0
22,2013-09-04,2332.8,2360.66,2297.45,2350.7,54777645400.0,494705678869.0
23,2013-09-13,2350.93,2527.38,2335.93,2488.9,86390032900.0,748691456111.0
24,2013-09-26,2501.08,2503.69,2382.53,2384.44,63062057600.0,610493933986.0
25,2013-10-14,2382.22,2483.13,2379.86,2472.54,57034791900.0,568121099730.0
26,2013-10-23,2475.32,2479.13,2407.78,2418.49,57682561300.0,545035290978.0
27,2013-11-01,2412.24,2422.94,2327.9,2384.96,54921584000.0,483497962501.0
28,2013-11-12,2397.21,2404.9,2295.0,2340.0,38469686900.0,357360765891.0
29,2013-11-21,2325.36,2435.43,2279.01,2409.99,55223236500.0,526672390878.0
30,2013-12-02,2415.29,2464.86,2380.41,2418.79,54774463600.0,519624112039.0
31,2013-12-11,2410.69,2486.64,2400.74,2412.76,51311046000.0,486352423483.0
32,2013-12-20,2406.77,2423.31,2278.1,2278.14,36802957400.0,349165210409.0
33,2013-12-31,2283.8,2333.07,2259.57,2330.03,34511687700.0,333775407517.0
